study_id,stand,stand_size_class,n_reproductive_trees,t_m_pct,F_filled_seeds_per_cone,F_representation_status,source_location
PS021,A,small,3,89.5,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,B,small,1,90.8,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,C,small,3,91.8,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,D,small,3,90.4,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,E,small,1,90.3,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,F,small,4,90.7,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,G,small,1,90.4,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,H,small,3,90.4,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,I,small,1,89.4,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,J,small,8,89.2,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,K,small,4,91.1,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,L,medium,21,89.5,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,M,medium,20,90.3,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,N,medium,56,91.0,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,O,medium,43,91.8,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,P,medium,56,89.9,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,Q,medium,20,92.0,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,R,large,100,91.8,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,S,large,180,89.6,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,T,large,180,90.6,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,U,large,4500,91.8,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,V,large,4500,91.7,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
PS021,W,large,4500,92.4,,figure_only_not_digitized,"O'Connell et al. 2006 Heredity Table 1; reproductive study Figure 2"
