cluster_id,current_status,coverage_pairs_if_recovered,moderator_value_if_recovered,blocker_class,reopen_trigger,coverage_priority,priority_basis,outcome_significance_used
ML004,closed,I-F;I-T;F-T,process_function;fragmentation_gradient,missing_same_campaign_population_effect_vectors,"Recover 2020 population-level exposure and I/F response vectors or source coefficient/SE/covariance representation",B,"multiple layers but source object currently non-public/non-reconstructable",no
ML005,closed,C-G_offspring,reproductive_assurance;isolation_connectivity,source_access_and_exact_exposure,"Recover exact population-specific modified-incidence connectivity values and legitimately accessible seedling genotype bytes",B,"underrepresented C-G_offspring pair; substantial access burden",no
ML006,closed,I-F;I-G_adult;F-G_adult,mating_system;pollination;life_history,missing_common_population_table,"Recover exact same 15-population forest1000 + Pi + pollinator abundance + seed-number data or source model objects",A,"three prespecified pairs and adult-genetic/process/function bridge",no
ML007,closed,D-I;D-F;I-F,experimental_design;edge_fragmentation,raw_data_access_block,"Obtain ordinary source-author/publisher raw CSV preserving 8-block hierarchy; do not bypass access controls",A,"replicated experimental D/I/F geometry and underrepresented I-F pair",no
ML008,closed,I-F,reproductive_assurance;pollination,missing_signed_effect_or_site_level_summary,"Recover site-level I/F summaries or signed habitat model contrasts plus dependence for both species",A,"independent I-F replication plus source-defined autonomous-selfing contrast",no
ML009,structural_close,C-G_mating;C-G_adult,life_history,single_landscape_per_condition,"Reopen only if genuinely additional independent fragmented and continuous landscapes become available",HARD_CLOSE,"lower-level mothers/seeds/males/loci cannot create fragmentation replication",no
ML010,closed,C-G_offspring,urban_roof;isolation_connectivity,missing_parentage_assignment_output,"Recover source CERVUS assignment output or exact roof-level self/within/between counts",A,"10 roof populations; underrepresented C-G_offspring pair",no
ML011,closed,C-F,mating_system;population_size_fragmentation,missing_exact_source_exposure,"Recover exact six-population summed adult-genet basal-area exposure used by source model",B,"underrepresented C-F pair but one missing source exposure vector",no
ML012,closed,C-G_mating,mating_system;fragmentation_binary,missing_population_specific_genetic_mating_endpoint,"Recover source-adjusted four-population N_ep values or equivalent valid source object",A,"valid 2+2 population frame; underrepresented C-G_mating pair",no
ML013,structural_close,G_mating-G_offspring,life_history,single_reference_population,"Reopen only if at least one additional independent continuous-reference population becomes available under same estimand",HARD_CLOSE,"one continuous population cannot support habitat-level variance; nested progeny/loci cannot repair",no
