queue_id,candidate_openalex_id,doi,title,publication_year,first_author,source_name,layer_hints,pair_families,abstract_available,triage_class,workload_priority_basis,screening_status,outcome_opened
CFTQ0001,W7127386391,10.1007/s10980-026-02305-2,Landscape fragmentation and agricultural context impact pollination services to native annual plants in critically endangered Australian woodlands,2026,Manuel Sevenello,Landscape Ecology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0002,W7129283322,10.1002/ecy.70322,Habitat fragmentation affects plant–arthropod interactions through connectivity loss and edge effects,2026,Katherine A. Hulting,Ecology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0003,W7155363575,10.1038/s41437-026-00845-6,High selfing rate and inbreeding depression correlate with past range expansion in an endangered African timber species Pericopsis elata,2026,Bloude L. B. Toumba-Paka,Heredity,C;F;G_offspring,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0004,W7160874897,10.1073/pnas.2533900123,"Oak masting breaks down in a highly fragmented, pollen-limited landscape",2026,Ian S. Pearse,Proceedings of the National Academy of Sciences,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0005,W7165801268,10.1111/btp.70228,Pollinator Diversity and Pollen Flow of an Emergent Tropical Tree Species in a Fragmented Forest,2026,Supparat Tongkok,Biotropica,I;C;F;G_adult,"I-F;C-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0006,W7168045414,10.1093/aob/mcag204,Floral morphs of a heterostylous grassland herb differ in responses to grassland fragmentation and environmental pressures,2026,Anna Florianová,Annals of Botany,I;C;F,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0007,W7168291794,10.3897/italianbotanist.22.183002,"An isolated, yet extensive population of the threatened species Jacobaea paludosa (Asteraceae) shows alarming reproductive constraints",2026,Marta Barberis,Italian Botanist,I;F;G_adult,"I-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0008,W7171952205,10.3375/2162-4399-46.3.2,Mating Matters: The Breeding System and Effects of Inbreeding and Outbreeding in the Endangered Willamette Daisy,2026,Thomas N. Kaye,Natural Areas Journal,I;F;G_adult,"I-F;G_adult-mean(I,F)",yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0009,W7212143108,10.3390/biology15181595,"Breeding System of Jacquemontia curtisii, an Endemic Morning-Glory of Pine Rocklands",2026,Suzanne Koptur,Biology,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0010,W4406479973,10.3389/fpls.2024.1512914,"Assessment of genetic conservation units of an endangered glacial relict insular species, Amentotaxus formosana, based on fine-scale genetic structures of multiple fragmented mountainous populations in Taiwan",2025,Ya‐Zhu Ko,Frontiers in Plant Science,C;F;G_adult,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0011,W4407412192,10.1002/ece3.70903,Inbreeding Depression Manifested in Progeny From Fragmented Populations of the Wind‐Pollinated Dioecious Conifer Afrocarpus gracilior (Pilg.) C. N. Page,2025,Nigussu Begashaw Abate,Ecology and Evolution,C;F;G_offspring,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0012,W4407913905,10.3390/plants14050702,A Spatial Structure of Key Tree Species Metrodorea nigra St. Hill. (Rutaceae) Is Associated with Historical Disturbance and Isolation in Southeastern Brazil,2025,R. Maciel Filho,Plants,I;C;F;G_offspring,I-F;C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0013,W4409090379,10.1016/j.gecco.2025.e03571,Reduced rodent-mediated seed dispersal at forest edge hinders regeneration,2025,Xinhui Wang,Global Ecology and Conservation,C;F,C-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
CFTQ0014,W4410004957,10.1080/11956860.2025.2494407,The abundance and reproductive success of the orchid Calypso bulbosa L. in relation to forest structure,2025,Esa Huhta,Ecoscience,I;F,I-F,yes,priority_multilayer_fragmentation,doi_venue_abstract_available_then_year_desc,pending_title_abstract_methods_screen,no
