source_frame,source_paper_id,citation,doi,screen_wave,screen_basis,candidate_layer_geometry,fragmentation_exposure_frame,independent_unit_frame,screen_decision,decision_reason,next_action,outcome_opened,outcome_blind_confirmation
SF05,2,Berens et al. 2014,10.1038/hdy.2014.40,1,design_and_methods_only,G_adult+G_offspring,"single Kakamega Forest life-cycle population; no source-defined fragmented-versus-reference exposure contrast","life stages within one forest population",closed_no_fragmentation_reference_contrast,"The paper follows genetic structure across five life stages within Kakamega Forest. That can inform cohort genetics but does not itself identify the EGWEE fragmentation exposure contrast.","retain as background/life-cycle evidence; do not admit as a Phase-2 fragmentation layer-pair cluster",no,yes
SF05,42,Van Rossum & Triest 2003,10.1007/BF02803196,1,design_and_methods_only,G_adult+F,"fragmentation is explicit and the study covers a 41-population network; exact source-defined exposure coding still requires full-text verification","population appears to be the relevant unit; common quantitative frame not yet verified",advance_full_text_quantitative_screen,"The study jointly measures population genetic variation/structure and reproductive success in a fragmented landscape, so it can potentially provide same-system multilayer geometry if the full text confirms a common exposure and independent-unit frame.","recover full text/tables; verify population-level exposure coding, exact G_adult and F endpoints, common rows, independent n, and reconstructable uncertainty/covariance before any effect extraction",no,yes
SF05,66,Jin et al. 2012,10.1016/j.bse.2012.02.023,1,design_and_methods_only,G_adult+G_offspring,"two populations are both described as fragmented; no unfragmented/reference exposure is defined in this paper","age classes nested within two fragmented populations",closed_fragment_only_no_reference,"Age-class genetic structure is compared inside two fragmented populations. Without a source-defined reference exposure, the paper does not identify an EGWEE fragmentation effect.","do not admit; do not manufacture a reference by joining unrelated records",no,yes
SF05,96,Ayre et al. 2009,10.1111/j.1365-2745.2009.01516.x,1,design_and_methods_only,G_adult+G_offspring,"one isolated population followed across repeated wildfire cohorts; disturbance is fire rather than a replicated fragmentation contrast","adult and seedling cohorts nested within one population",closed_nonfragmentation_single_population_disturbance,"The study is a repeated-fire cohort design in one isolated population. It can inform cohort persistence but cannot supply independent fragmentation treatment/reference units.","retain as background/cohort evidence; do not admit as a direct fragmentation layer-pair cluster",no,yes
SF05,1,Beghe et al. 2017,10.1093/aob/mcw246,2,design_and_methods_only,C+G_adult,"one undisturbed wild-olive population; no fragmented/reference exposure in the study design","trees and maternal families within one population",closed_no_fragmentation_reference_contrast,"The study quantifies gene flow and spatial genetic structure within one undisturbed forest population, so it does not identify a fragmentation response.","retain as within-population process background only",no,yes
SF05,4,Bizoux et al. 2009,10.1111/j.1365-294x.2009.04365.x,2,design_and_methods_only,C+D+G_adult,"four Cameroonian populations; two open-habitat and two continuous-forest populations","population is a plausible fragmentation-level unit; exposure coding requires source verification",advance_full_text_quantitative_screen,"The study contains replicated populations spanning open and continuous forest habitat and measures genetic structure plus dispersal-related responses on that frame.","verify that open habitat is source-defined fragmentation exposure; recover population-level endpoints, n and uncertainty before effect calculation",no,yes
SF05,8,Cloutier et al. 2007,10.1111/j.1744-7429.2007.00266.x,2,design_and_methods_only,C+G_adult,"one Carapa population and one Sextonia population; local conspecific density varies within populations","maternal trees are nested within species populations rather than independent fragmentation treatments",closed_no_fragmentation_reference_contrast,"The design studies mating and pollen dispersal within one population per species and does not define replicated fragmented/reference landscape units.","retain as reproductive-biology background; do not promote maternal trees or local-density neighborhoods to fragmentation replicates",no,yes
SF05,10,Duminil et al. 2016a,10.1016/j.foreco.2016.08.003,2,design_and_methods_only,C+G_adult,"mating and gene-flow study without a source-defined replicated fragmented/reference comparison","cohorts and maternal families are nested within the focal population frame",closed_no_fragmentation_reference_contrast,"The source focuses on mating, pollen dispersal and cohort inbreeding within the focal system rather than a replicated fragmentation contrast.","retain as process and natural-history background only",no,yes
SF05,11,Duminil et al. 2016,10.1038/hdy.2015.101,2,design_and_methods_only,C+D+G_adult,"three Central African populations with contrasting adult density used to examine a potential logging-density effect","population is independent, but density must be shown to be a source-defined fragmentation severity exposure",advance_full_text_exposure_screen,"The design has three independent populations and process/genetic responses, but the current source frame identifies population density rather than a direct area/isolation fragmentation contrast.","verify whether the source prospectively defines density reduction as the exposure for the fragmentation question; otherwise retain as contextual evidence",no,yes
SF05,15,Hardy et al. 2006,10.1111/j.1365-294x.2005.02785.x,2,design_and_methods_only,C+G_adult,"multi-species gene-dispersal study without a source-defined fragmented/reference exposure frame","species/site samples are not a fragmentation treatment contrast",closed_no_fragmentation_reference_contrast,"The study estimates gene dispersal and fine-scale genetic structure across tropical tree species but does not define the EGWEE fragmentation exposure needed for a response effect.","retain as gene-dispersal background only",no,yes
