cluster_id,study_ids,system_id,program_id,species,design_stream,fragmentation_contrast,campaign_window,independent_unit_frame,layers_targeted,admissible_primary_layers,n_admissible_primary_effects,covariance_status,cluster_status,next_recovery_action,independence_note
ML001,PS003,serapias_lingua,serapias_2015,Serapias lingua,hedges_g_direct,source_defined_anthropic_vs_natural,2015_publication,nine_populations,C;F;G_adult,C;F;G_adult,3,proxy_reconstructed_from_paired_populations,admissible_multilayer_cluster,"Use stored V block; retain H_O as primary G and F_IS as sensitivity only.","One study/species/contrast cluster; three outcomes do not count as three studies."
ML002,PS004,brosimum_alicastrum,brosimum_2023,Brosimum alicastrum,hedges_g_direct,3_continuous_vs_3_fragmented,2023_publication,"six_sites with maternal_tree/progeny nesting",C;F;G_adult;G_offspring,C;F,2,proxy_reconstructed_from_six_sites,admissible_multilayer_cluster,"Use C/F for the first cross-system overlap with PS003. Continue genotype QA separately; do not promote G until raw summaries reconcile with Table 2.","C uses one paternity-correlation estimate per site. F is recovered by maternal-tree then site aggregation from the public workbook. Both use the same three fragmented versus three continuous sites; nested offspring are not independent n."
ML003,PS001,spondias_purpurea,spondias_2021,Spondias purpurea,hedges_g_direct,continuous_vs_fragmented,2021_publication,"same five sites; trees/progeny/loci nested below site",I;C;F;G_adult;G_offspring,C;G_adult;G_offspring,4,proxy_pairwise_low_rank_from_five_sites,admissible_multilayer_cluster,"I/F recovery closed: source models support lower visitation/fruit set under fragmentation, but no effect-unit-valid five-site I/F vector or compatible covariance is publicly recoverable. Use C plus canonical H_O for adult/juvenile/seed cohort comparisons; retain F_IS and adult Sp as sensitivities. Reopen I/F only with author/raw-data release.","Four co-primary outcomes are C, adult H_O, juvenile H_O and seed H_O on the same Careyes/Chamela versus Mesa/Nacastillo/Ranchitos sites. Juvenile and seed are dependent developmental outcomes inside one cluster, not extra systems. With five sites and two habitat groups the four-endpoint group-centered covariance proxy is rank-limited; store pairwise covariance and use lower-dimensional contrasts or cluster-robust fallback."
ML004,PS015,conospermum_undulatum,conospermum_program,Conospermum undulatum,fisher_z_gradient,source_defined_fragmentation_isolation_gradient,2020_campaign,eleven_populations,I;T;F,,0,not_reconstructable_from_public_source,effect_unit_or_variance_not_reconstructable,"Recovery closed after Elsevier supplement and thesis/repository audit: no population-level 2020 I/F vectors or same-exposure coefficient/SE/covariance representation. Do not rescue with 2019 reproductive dataset.","Do not merge with 2019/2021/2026 Conospermum campaigns as a synchronized cluster; reopen only if 2020 population/model data become available."
ML005,PS011,conospermum_undulatum,conospermum_program,Conospermum undulatum,fisher_z_gradient,source_defined_modified_incidence_connectivity_index,2026_publication_campaign,"population with maternal_plant/seedling nesting",C;G_offspring,,0,blocked_before_effect_calculation,source_access_blocked,"Reopen only when both exact population-specific modified-incidence connectivity values and legitimately accessible seedling genotype bytes are available. Keep C=m_p+s and G_offspring=H_E frozen; do not rescue with population size, distance, area, floral display, or the descriptive binary matrix class.","Adult G context is a linked historical cohort from PS010 and cannot be counted again as a 2026 effect. No C/G outcome was calculated before the access/exposure gates closed. Binary matrix classes are descriptive sensitivity metadata only because outcome information must not define the primary C exposure."
ML006,PS016,primula_elatior,primula_2025,Primula elatior,multivariate_quadratic_common_exposure,forest_cover_1000m,2025_publication,"same 15 pollinator-survey populations required for G/I/F overlap",I;T;F;G_adult,,0,blocked_before_effect_calculation,common_population_values_not_recoverable,"Recovery closed after direct Elsevier supplement schema audit. Table A1 provides 33-population Pi/PP but no forest-cover or response values; Table A10 is visitor-taxon totals rather than population-level pollinator abundance; no exact 15-population table jointly exposes forest1000, Pi, pollinator abundance, and seed number per fruit. Remaining analysis datasets/code are author-request only. Reopen only with exact source data; do not digitize figures.","Forest1000 was prospectively locked because F uses 1000 m and I includes 1000 m in its source candidate set. The common 15-population frame and Pi/I/F endpoints were frozen before population values were opened; no G/I/F common-exposure effect was calculated."
ML007,PS014,hulting_fragmentation_experiment,hulting_2025,multi_species_experimental_plants,hierarchical_edge_gradient,within_patch_edge_severity,2009_campaign,"one study cluster; 8 blocks > patches > patch corners > plants; five species are dependent outcomes",D;I;F,,0,blocked_before_effect_calculation,source_access_blocked_locked_2025_raw,"2026-09-24 re-audit: Dryad metadata verifies archive_SRS_2009_seeds.csv (file 3628536; 664907 bytes), but ordinary CI routes remain blocked (file_stream/stash_file_stream return Anubis challenge; v2 download returns 401) and Wiley supplement remains 403. The linked 2026 Carphephorus campaign from the same Savannah River experiment has separate accessible raw data but cannot substitute for the frozen 2025 edge-severity campaign or create a new programme K.","Primary exposure edge_severity=-z(distance_from_edge), five species, I/F endpoints, hierarchy and dependence remain frozen. Reopen only with legitimate access to the 2025 raw CSV/model coefficients. Do not replace edge severity with the 2026 connectivity/edge-ratio exposure after outcome access; linked 2026 campaign remains one Hulting programme."
ML008,PS012,tillandsia_chamela,tillandsia_2018,"Tillandsia intermedia;Tillandsia makoyana",site_nested_binary_habitat,continuous_vs_fragmented,2008_2011_campaign,"one study cluster; species-specific 3 continuous + 3 fragmented sites; plants/years nested below site",I;F,,0,not_reconstructable_from_published_test_statistics,signed_effect_and_covariance_not_reconstructable,"Habitat tests for primary I and fruit-set F use F(1,4), preserving the six-site frame, but the publication does not provide signed model coefficients/site summaries for every species-layer pair or an I/F covariance. Reopen with site-level summaries, model contrast estimates plus covariance, or raw data; do not use plant-level 2011 seed-set n as fragmentation replication.","Two species are dependent outcomes within one study and share several sites. T. makoyana 2011 seed set is biologically informative but remains secondary because its simple ANOVA uses plant-level df=60 rather than the six-site fragmentation frame. Nonsignificant I/F tests are not coded as zero and Figure 3 is not digitized to manufacture effects."
ML009,PS013,pistacia_lentiscus,pistacia_2009_2012,Pistacia lentiscus,cross_study_single_landscape_reference,highly_fragmented_landscape_vs_continuous_stand,"2007 fragmented cohort vs 2006/2007 continuous programme reference","one fragmented landscape vs one continuous landscape; mothers/seeds/males/loci nested below landscape",C;G_mating;G_adult,,0,not_identifiable_from_one_landscape_per_condition,single_landscape_per_condition_no_replication,"Retain source-harmonized 2007 correlated-paternity and recomputed Sp comparisons as programme-level descriptive evidence only. Reopen quantitative synthesis only with additional independent landscapes or a prespecified hierarchical design that yields valid landscape-level uncertainty and cross-layer dependence.","Fragmented fruits were collected in October 2007, so the continuous 2007 mating season is temporally aligned; the blocker is exposure replication, not simply calendar mismatch. Mothers are not fragmentation replicates. Continuous r_p also varies between 2006 and 2007, continuous Sp was recomputed by the 2012 source for comparability, and no directly comparable pollen-kernel contrast is available."
ML010,C07,penstemon_hirsutus,penstemon_green_roof_2019,Penstemon hirsutus,within_network_isolation_gradient,source_defined_mean_distance_to_other_nine_roofs,2014_experimental_roof_campaign,"ten roof populations; five parents plus offspring/loci nested below roof",C;G_offspring,,0,blocked_before_effect_calculation,source_parentage_assignments_not_reconstructable,"Reopen only with source parentage assignment output or exact roof-level self/within/between counts under the published CERVUS classification. Keep exposure=z(mean distance to other roofs) and G_offspring=H_E frozen; do not reimplement parentage or digitize Figure 4.","Public Parentage_Microsats_FinalData.csv contains genotype and popNum fields but no assigned-father/paternity/LOD/confidence columns. Offspring G is structurally reconstructable but was not quantitatively opened after the C layer failed. The separate 3 natural + 3 established-roof adult-genetic design cannot be joined to the ten experimental roofs."
ML011,PS002,magnolia_stellata,magnolia_2013,Magnolia stellata,fisher_z_gradient,source_defined_summed_adult_genet_basal_area,2005_campaign,"six seed-sampled populations Y/T/A/B/C/F; genets/offspring/mating pairs nested",C;F,,0,blocked_before_effect_calculation,source_population_size_values_not_recoverable,"Reopen only if the exact six-population summed adult-genet basal-area values used by the source female-reproduction model become available. The electronic supplement exposes donor-by-sink pollen structure but its integer Population size column is adult-genet-count scale and cannot replace the source-defined summed-basal-area exposure.","Prospective endpoint/exposure lock preceded numeric supplement opening. No C/F association or covariance was calculated after the exposure-definition mismatch was discovered."
ML012,PS017,dieffenbachia_seguine,dieffenbachia_2010,Dieffenbachia seguine,hedges_g_direct,fragmented_vs_continuous,2002_2003_campaign,"four populations F1/F2/C1/C2; mothers/seedlings/loci nested below population",C;G_mating,,0,blocked_before_dependence_calculation,population_specific_Nep_not_reconstructable,"Exact C assignment vector is recovered and retained as descriptive g. Reopen only with the published 2010 Table 2 population-specific adjusted N_ep cells derived from Phi''_ft; do not substitute thesis unadjusted 1/(2 PhiFT), mating-system 1/r_p, A_ep, adult H_O or lower-level pseudo-replication.","Two fragmented plus two continuous populations provide valid fragmentation units. The thesis assignment matrix yields exact C but its N_ep table is an older unadjusted representation; the 2010 paper reports adjusted N_ep range 1.0-2.4 without exposing the four accessible table cells, so no G effect or C/G covariance is manufactured."
ML013,PS018,swietenia_humilis,swietenia_2011,Swietenia humilis,unbalanced_binary_habitat,isolated_remnant_vs_continuous_forest,2011_publication,"six sampled populations but only one continuous-forest reference population; maternal trees/progeny/loci nested below population",G_mating;G_offspring,,0,not_identifiable_with_single_reference_population,single_continuous_reference_population_no_replication,"Retain the published donor-diversity and progeny-diversity habitat summaries as programme-level evidence only. Reopen quantitative cluster admission only with at least two independent continuous-reference populations under the same estimand or a prospectively justified hierarchical design that supplies valid habitat-level uncertainty.","Published signals are directionally strong (N_ep 1.9 isolated vs 3.6 forest; progeny allelic richness 6.1 vs 8.3), but the continuous habitat is represented by one forest population S. Maternal trees, progeny and loci are not fragmentation replicates; no Hedges-g variance is manufactured from lower-level n."
ML014,PS020,eucalyptus_socialis,eucalyptus_socialis_2012,Eucalyptus socialis,hedges_g_direct,monarto_isolated_pasture_vs_small_remnant_woodland,2012_publication,"same 28 Monarto maternal families; progeny/loci/repeated growth nested below family",G_mating;F,G_mating;F,2,proxy_reconstructed_from_paired_families,admissible_multilayer_cluster,"Use the stored family-level G_mating/F effects and 2x2 V block; retain Yookamurra as source context only.","Source family-level mating parameters and family growth share the same Monarto maternal-family frame. MONLOW isolated-pasture families are fragmented and MONHIGH small-remnant families are reference; near-neighbour maternal sampling was avoided and progeny/loci are not promoted to n."
