queue_id,canonical_identity_key,source_frame,source_paper_id,citation,doi,species,countries,cohorts,disturbance_classes,C_metadata_basis,F_screen_basis,design_gate,screening_status,outcome_opened
CFQ001,SF05:1,SF05,1,"Beghé, D., Piotti, A., Satovic, Z., De La Rosa, R., Belaj, A., 2017. Pollen-mediated gene flow and fine-scale spatial genetic structure in Olea europaea subsp. europaea var. sylvestris. Ann. Bot. 119, 671–679. https://doi.org/10.1093/aob/mcw246",10.1093/aob/mcw246,Olea europaea spp europaea var sylvestris,Spain,adult,U,C_screen;G_adult_FSGS,title_abstract_methods_only,verify source-defined fragmentation exposure; verify a reproductive-function endpoint F in the same programme and exposure frame; recover fragmentation-level independent units; do not promote offspring/trees/loci/paternity events to replicates,pending_CF_title_abstract_methods_screen,no
CFQ002,SF05:4,SF05,4,"Bizoux, J.P., Daïnou, K., Bourland, N., Hardy, O.J., Heuertz, M., Mahy, G., Doucet, J.L., 2009. Spatial genetic structure in Milicia excelsa (Moraceae) indicates extensive gene dispersal in a low-density wind-pollinated tropical tree. Mol. Ecol. 18, 4398–4408. https://doi.org/10.1111/j.1365-294X.2009.04365.x",10.1111/j.1365-294x.2009.04365.x,Milicia excelsa,Cameroon,non-defined mixed,FM,C_screen;D_screen;G_adult_FSGS,title_abstract_methods_only,verify source-defined fragmentation exposure; verify a reproductive-function endpoint F in the same programme and exposure frame; recover fragmentation-level independent units; do not promote offspring/trees/loci/paternity events to replicates,pending_CF_title_abstract_methods_screen,no
CFQ003,SF05:8,SF05,8,"Cloutier, D., Hardy, O.J., Caron, H., Ciampi, A.Y., Degen, B., Kanashiro, M., Schoen, D.J., 2007. Low Inbreeding and High Pollen Dispersal Distances in Populations of Two Amazonian Forest Tree Species. Biotropica 39, 406–415. https://doi.org/10.1111/j.1744-7429.2007.00266.x",10.1111/j.1744-7429.2007.00266.x,Carapa guianensis;Sextonia rubra,Brazil;French Guiane,adult,D,C_screen;G_adult_FSGS,title_abstract_methods_only,verify source-defined fragmentation exposure; verify a reproductive-function endpoint F in the same programme and exposure frame; recover fragmentation-level independent units; do not promote offspring/trees/loci/paternity events to replicates,pending_CF_title_abstract_methods_screen,no
CFQ004,SF05:10,SF05,10,"Duminil, J., Mendene Abessolo, D.T., Ndiade Bourobou, D., Doucet, J.L., Loo, J., Hardy, O.J., 2016. High selfing rate, limited pollen dispersal and inbreeding depression in the emblematic African rain forest tree Baillonella toxisperma – Management implications. For. Ecol. Manage. 379, 20–29. https://doi.org/10.1016/j.foreco.2016.08.003",10.1016/j.foreco.2016.08.003,Baillonella toxisperma,Gabon,defined mixed,D,C_screen;G_adult_FSGS,title_abstract_methods_only,verify source-defined fragmentation exposure; verify a reproductive-function endpoint F in the same programme and exposure frame; recover fragmentation-level independent units; do not promote offspring/trees/loci/paternity events to replicates,pending_CF_title_abstract_methods_screen,no
CFQ005,SF05:11,SF05,11,"Duminil, J., Daïnou, K., Kaviriri, D.K., Gillet, P., Loo, J., Doucet, J.L., Hardy, O.J., 2016. Relationships between population density, fine-scale genetic structure, mating system and pollen dispersal in a timber tree from African rainforests. Heredity (Edinb). 116, 295–303. https://doi.org/10.1038/hdy.2015.101",10.1038/hdy.2015.101,Erythrophleum suaveolens,Cameroon;DRC;Gabon,adult,D;U,C_screen;D_screen;G_adult_FSGS,title_abstract_methods_only,verify source-defined fragmentation exposure; verify a reproductive-function endpoint F in the same programme and exposure frame; recover fragmentation-level independent units; do not promote offspring/trees/loci/paternity events to replicates,pending_CF_title_abstract_methods_screen,no
CFQ006,SF05:15,SF05,15,"Hardy, O.J., Maggia, L., Bandou, E., Breyne, P., Caron, H., Chevallier, M.H., Doligez, A., Dutech, C., Kremer, A., Latouche-Hallé, C., Troispoux, V., Veron, V., Degen, B., 2006. Fine-scale genetic structure and gene dispersal inferences in 10 Neotropical tree species. Mol. Ecol. 15, 559–571. https://doi.org/10.1111/j.1365-294X.2005.02785.x",10.1111/j.1365-294x.2005.02785.x,Dycorynia guianensis;Moronobea coccinea;Sextonia rubra;Symphonia globulifera;Vouacapoua americana,French Guiane,non-defined mixed,U,C_screen;G_adult_FSGS,title_abstract_methods_only,verify source-defined fragmentation exposure; verify a reproductive-function endpoint F in the same programme and exposure frame; recover fragmentation-level independent units; do not promote offspring/trees/loci/paternity events to replicates,pending_CF_title_abstract_methods_screen,no
CFQ007,SF05:20,SF05,20,"Lemos, R.P.M., D’Oliveira, C.B., Stefenon, V.M., 2015. Genetic structure and internal gene flow in populations of Schinus molle (Anacardiaceae) in the Brazilian Pampa. Tree Genet. Genomes 11. https://doi.org/10.1007/s11295-015-0885-7",10.1007/s11295-015-0885-7,Schinus molle,Brazil,adult,FH,C_screen;G_adult_FSGS,title_abstract_methods_only,verify source-defined fragmentation exposure; verify a reproductive-function endpoint F in the same programme and exposure frame; recover fragmentation-level independent units; do not promote offspring/trees/loci/paternity events to replicates,pending_CF_title_abstract_methods_screen,no
CFQ008,SF05:24,SF05,24,"Oddou-Muratorio, S., Demesure-Musch, B., Pélissier, R., Gouyon, P.H., 2004. Impacts of gene flow and logging history on the local genetic structure of a scattered tree species, Sorbus torminalis L. Crantz. Mol. Ecol. 13, 3689–3702. https://doi.org/10.1111/j.1365-294X.2004.02373.x",10.1111/j.1365-294x.2004.02373.x,Sorbus torminalis,France,adult,D,C_screen;G_adult_FSGS,title_abstract_methods_only,verify source-defined fragmentation exposure; verify a reproductive-function endpoint F in the same programme and exposure frame; recover fragmentation-level independent units; do not promote offspring/trees/loci/paternity events to replicates,pending_CF_title_abstract_methods_screen,no
CFQ009,SF05:25,SF05,25,"Oddou-Muratorio, S., Bontemps, A., Klein, E.K., Chybicki, I., Vendramin, G.G., Suyama, Y., 2010. Comparison of direct and indirect genetic methods for estimating seed and pollen dispersal in Fagus sylvatica and Fagus crenata. For. Ecol. Manage. 259, 2151–2159. https://doi.org/10.1016/j.foreco.2010.03.001",10.1016/j.foreco.2010.03.001,Fagus crenata;Fagus sylvatica,France;Japan,adult,FL;U,C_screen;G_adult_FSGS,title_abstract_methods_only,verify source-defined fragmentation exposure; verify a reproductive-function endpoint F in the same programme and exposure frame; recover fragmentation-level independent units; do not promote offspring/trees/loci/paternity events to replicates,pending_CF_title_abstract_methods_screen,no
CFQ010,SF05:32,SF05,32,"Wang, R., Compton, S.G., Chen, X.Y., 2011. Fragmentation can increase spatial genetic structure without decreasing pollen-mediated gene flow in a wind-pollinated tree. Mol. Ecol. 20, 4421–4432. https://doi.org/10.1111/j.1365-294X.2011.05293.x",10.1111/j.1365-294x.2011.05293.x,Castanopsis sclerophylla,China,defined mixed,FH,C_screen;G_adult_FSGS,title_abstract_methods_only,verify source-defined fragmentation exposure; verify a reproductive-function endpoint F in the same programme and exposure frame; recover fragmentation-level independent units; do not promote offspring/trees/loci/paternity events to replicates,pending_CF_title_abstract_methods_screen,no
